Date,Time,Appliance,Energy_Consumption,Room,Status
2022-01-01,18:59,TV,0.0,Living Room,Off
2022-01-01,08:35,Washing Machine,0.0,Laundry,Off
2022-01-01,04:57,Heater,2.2,Bedroom,On
2022-01-01,18:46,Refrigerator,0.0,Kitchen,Off
2022-01-01,15:41,Heater,0.0,Bedroom,Off
2022-01-01,23:21,Refrigerator,0.0,Kitchen,Off
2022-01-01,23:50,EVCar,94.0,Garage,On
2022-01-01,15:50,Washing Machine,1.75,Laundry,On
2022-01-01,16:29,TV,0.0,Living Room,Off
2022-01-01,04:53,TV,0.87,Living Room,On
2022-01-01,16:58,Washing Machine,0.0,Laundry,Off
2022-01-01,06:02,Refrigerator,1.23,Kitchen,On
2022-01-01,19:56,EVCar,96.82,Garage,On
2022-01-01,19:16,Refrigerator,0.0,Kitchen,Off
2022-01-01,21:03,EVCar,0.0,Garage,Off
2022-01-01,03:41,TV,0.0,Living Room,Off
2022-01-01,01:55,EVCar,0.0,Garage,Off
2022-01-01,13:54,Washing Machine,0.0,Laundry,Off
2022-01-01,21:17,Refrigerator,0.0,Kitchen,Off
2022-01-01,06:42,Refrigerator,1.08,Kitchen,On
2022-01-01,19:47,Washing Machine,0.0,Laundry,Off
2022-01-01,19:05,Refrigerator,1.29,Kitchen,On
2022-01-01,22:36,Refrigerator,1.41,Kitchen,On
2022-01-01,00:20,Refrigerator,0.0,Kitchen,Off
2022-01-01,05:39,Washing Machine,1.75,Laundry,On
2022-01-01,09:45,EVCar,0.0,Garage,Off
2022-01-01,08:26,TV,0.93,Living Room,On
2022-01-01,09:27,Heater,0.0,Bedroom,Off
2022-01-01,10:09,Refrigerator,1.05,Kitchen,On
2022-01-01,14:20,Refrigerator,1.04,Kitchen,On
2022-01-01,04:07,EVCar,0.0,Garage,Off
2022-01-01,18:44,Refrigerator,0.0,Kitchen,Off
2022-01-01,15:14,Washing Machine,0.0,Laundry,Off
2022-01-01,03:26,TV,0.0,Living Room,Off
2022-01-01,20:53,TV,0.0,Living Room,Off
2022-01-01,17:44,Refrigerator,1.44,Kitchen,On
2022-01-01,13:12,TV,0.74,Living Room,On
2022-01-01,05:27,Heater,0.0,Bedroom,Off
2022-01-01,22:32,Heater,0.0,Bedroom,Off
2022-01-01,04:05,Refrigerator,0.0,Kitchen,Off
2022-01-01,08:16,TV,0.92,Living Room,On
2022-01-01,11:32,Refrigerator,1.34,Kitchen,On
2022-01-01,09:28,TV,0.94,Living Room,On
2022-01-01,07:35,Refrigerator,0.0,Kitchen,Off
2022-01-01,15:39,EVCar,0.0,Garage,Off
2022-01-01,22:07,Heater,2.2,Bedroom,On
2022-01-01,10:57,Refrigerator,0.0,Kitchen,Off
2022-01-01,20:36,Washing Machine,1.48,Laundry,On
2022-01-01,18:42,EVCar,101.56,Garage,On
2022-01-01,11:03,TV,0.73,Living Room,On
2022-01-01,01:35,Refrigerator,0.0,Kitchen,Off
2022-01-01,21:54,Washing Machine,0.0,Laundry,Off
2022-01-01,23:52,Washing Machine,0.0,Laundry,Off
2022-01-01,03:10,EVCar,84.29,Garage,On
2022-01-01,14:17,EVCar,98.91,Garage,On
2022-01-01,06:48,EVCar,0.0,Garage,Off
2022-01-01,23:11,Heater,0.0,Bedroom,Off
2022-01-01,10:08,Washing Machine,0.0,Laundry,Off
2022-01-01,15:13,TV,0.0,Living Room,Off
2022-01-01,09:31,EVCar,92.92,Garage,On
2022-01-01,02:06,Heater,1.67,Bedroom,On
2022-01-01,08:51,Refrigerator,1.07,Kitchen,On
2022-01-01,02:52,EVCar,0.0,Garage,Off
2022-01-01,20:12,EVCar,0.0,Garage,Off
2022-01-01,23:56,EVCar,93.58,Garage,On
2022-01-01,12:05,Washing Machine,1.3,Laundry,On
2022-01-01,16:47,Washing Machine,0.0,Laundry,Off
2022-01-01,21:08,Heater,2.2,Bedroom,On
2022-01-01,16:51,Heater,2.15,Bedroom,On
2022-01-01,17:29,EVCar,0.0,Garage,Off
2022-01-01,10:48,Refrigerator,1.41,Kitchen,On
2022-01-01,15:27,Washing Machine,1.33,Laundry,On
2022-01-01,20:17,Heater,2.07,Bedroom,On
2022-01-01,06:26,Washing Machine,1.64,Laundry,On
2022-01-01,12:46,Refrigerator,0.0,Kitchen,Off
2022-01-01,19:52,TV,0.0,Living Room,Off
2022-01-01,07:39,Washing Machine,0.0,Laundry,Off
2022-01-01,08:54,TV,0.0,Living Room,Off
2022-01-01,12:50,Heater,0.0,Bedroom,Off
2022-01-01,19:27,EVCar,118.44,Garage,On
2022-01-01,14:03,TV,0.9,Living Room,On
2022-01-01,08:08,Washing Machine,1.75,Laundry,On
2022-01-01,09:02,TV,0.87,Living Room,On
2022-01-01,11:10,Heater,2.37,Bedroom,On
2022-01-01,07:25,Washing Machine,1.56,Laundry,On
2022-01-01,03:04,EVCar,115.27,Garage,On
2022-01-01,22:14,Heater,0.0,Bedroom,Off
2022-01-01,03:43,Washing Machine,0.0,Laundry,Off
2022-01-01,04:03,TV,0.0,Living Room,Off
2022-01-01,10:43,TV,0.0,Living Room,Off
2022-01-01,09:31,EVCar,0.0,Garage,Off
2022-01-01,23:46,TV,0.72,Living Room,On
2022-01-01,15:49,Refrigerator,0.0,Kitchen,Off
2022-01-01,05:54,Heater,1.83,Bedroom,On
2022-01-01,08:00,EVCar,0.0,Garage,Off
2022-01-01,22:10,Refrigerator,0.0,Kitchen,Off
2022-01-01,14:41,Heater,1.69,Bedroom,On
2022-01-01,22:10,Refrigerator,0.0,Kitchen,Off
2022-01-01,18:41,EVCar,85.46,Garage,On
2022-01-01,18:48,Refrigerator,0.0,Kitchen,Off
2022-01-01,07:34,EVCar,0.0,Garage,Off
2022-01-01,06:34,TV,0.0,Living Room,Off
2022-01-01,03:41,Refrigerator,0.0,Kitchen,Off
2022-01-01,19:57,Heater,1.93,Bedroom,On
2022-01-01,22:56,TV,0.66,Living Room,On
2022-01-01,16:55,Heater,0.0,Bedroom,Off
